time_stamp, total time, scan point size, incremental time, search time, delete size, delete time, tree size st, tree size end, add point size, preprocess time
1733763409.95950723,0.00958145,3257,0.00408355,0.00000000,0,0.00000671,833,1666,833,0.00000000
1733763410.03450871,0.00620443,3733,0.00294113,0.00000000,0,0.00000000,1666,2178,653,0.00071209
1733763410.03450871,0.00299841,3733,0.00052449,0.00000000,0,0.00000000,2178,2358,300,0.00035176
1733763410.10951042,0.00633159,2983,0.00127373,0.00000000,0,0.00000000,2358,2656,548,0.00027884
1733763410.10951042,0.00862703,2983,0.00162376,0.00000000,0,0.00000000,2656,2681,290,0.00013068
1733763410.17851186,0.00686426,3004,0.00158949,0.00000000,0,0.00000000,2681,2911,595,0.00031534
1733763410.17851186,0.00535187,3004,0.00140010,0.00000000,0,0.00000000,2911,2965,370,0.00008070
1733763410.25351357,0.00479048,3002,0.00136883,0.00000000,0,0.00000000,2965,3120,553,0.00020785
1733763410.25351357,0.00779370,3002,0.00158970,0.00000000,0,0.00000000,3120,3060,248,0.00020017
1733763410.32551503,0.00863487,3068,0.00130690,0.00000000,0,0.00000000,3060,3140,259,0.00021759
1733763410.32551503,0.00284002,3068,0.00025387,0.00000000,0,0.00000000,3140,3158,143,0.00020035
1733763410.39751649,0.00276191,3765,0.00031304,0.00000000,0,0.00000000,3158,3229,191,0.00013207
1733763410.39751649,0.00603763,3765,0.00043819,0.00000000,0,0.00000000,3229,3241,103,0.00039389
1733763410.46951818,0.00683356,3261,0.00048787,0.00000000,0,0.00000000,3241,3253,125,0.00017226
1733763410.46951818,0.00497362,3261,0.00024769,0.00000000,0,0.00000000,3253,3284,59,0.00024306
1733763410.54151964,0.00744816,3492,0.00075472,0.00000000,0,0.00000000,3284,3378,226,0.00023019
1733763410.54151964,0.00714232,3492,0.00056658,0.00000000,0,0.00000000,3378,3416,124,0.00029174
1733763410.61352110,0.00832968,3058,0.00115611,0.00000000,0,0.00000000,3416,3547,274,0.00039284
1733763410.61352110,0.00626207,3058,0.00075285,0.00000000,0,0.00000000,3402,3368,117,0.00022787
1733763410.68552279,0.00751965,2996,0.00101633,0.00000000,0,0.00000000,3368,3461,253,0.00019424
1733763410.68552279,0.00424414,2996,0.00038766,0.00000000,0,0.00000000,3461,3517,116,0.00021897
1733763410.75752425,0.00844488,3118,0.00136075,0.00000000,0,0.00000000,3517,3421,221,0.00023386
1733763410.75752425,0.00610591,3118,0.00048673,0.00000000,0,0.00000000,3421,3457,94,0.00015869
1733763410.82652569,0.00669191,3225,0.00076841,0.00000000,0,0.00000000,3457,3546,198,0.00019268
1733763410.82652569,0.00482365,3225,0.00044967,0.00000000,0,0.00000000,3546,3578,100,0.00025189
1733763410.89852715,0.00810104,3849,0.00061702,0.00000000,0,0.00000000,3578,3639,149,0.00016893
1733763410.89852715,0.00666397,3849,0.00029910,0.00000000,0,0.00000000,3639,3660,50,0.00025938
1733763410.97052884,0.00668012,3565,0.00033163,0.00000000,0,0.00000000,3660,3685,85,0.00019058
1733763410.97052884,0.00576989,3565,0.00019369,0.00000000,0,0.00000000,3685,3703,39,0.00008022
1733763411.04253030,0.00814207,3869,0.00058898,0.00000000,0,0.00000000,3703,3723,128,0.00012279
1733763411.04253030,0.00377081,3869,0.00016665,0.00000000,0,0.00000000,3723,3738,60,0.00033434
1733763411.11153173,0.00594241,3414,0.00060998,0.00000000,0,0.00000000,3738,3755,138,0.00013503
1733763411.11153173,0.00651201,3414,0.00039217,0.00000000,0,0.00000000,3755,3754,79,0.00014922
1733763411.18353343,0.00735342,3503,0.00066699,0.00000000,0,0.00000000,3754,3794,150,0.00006874
1733763411.18353343,0.00682401,3503,0.00076406,0.00000000,0,0.00000000,3794,3823,88,0.00028770
1733763411.25553489,0.00482352,3183,0.00036609,0.00000000,0,0.00000000,3495,3598,162,0.00029387
1733763411.25553489,0.00567214,3183,0.00040137,0.00000000,0,0.00000000,3598,3632,91,0.00013660
1733763411.32753634,0.00711147,3261,0.00054748,0.00000000,0,0.00000000,3632,3694,128,0.00013649
1733763411.32753634,0.00268668,3261,0.00019073,0.00000000,0,0.00000000,3694,3723,72,0.00022523
1733763411.39653778,0.00752334,3533,0.00050796,0.00000000,0,0.00000000,3723,3763,106,0.00023285
1733763411.39653778,0.00600382,3533,0.00046278,0.00000000,0,0.00000000,3763,3781,64,0.00021386
1733763411.46853948,0.00493995,3422,0.00019510,0.00000000,0,0.00000000,3781,3818,89,0.00026154
1733763411.46853948,0.00534321,3422,0.00017164,0.00000000,0,0.00000000,3818,3830,43,0.00021168
1733763411.54054093,0.00788325,4136,0.00058155,0.00000000,0,0.00000000,3830,3865,125,0.00023231
1733763411.54054093,0.00613398,4136,0.00037359,0.00000000,0,0.00000000,3865,3856,80,0.00021484
1733763411.61254239,0.00758777,3580,0.00052948,0.00000000,0,0.00000000,3856,3913,116,0.00019323
1733763411.61254239,0.00270733,3580,0.00019513,0.00000000,0,0.00000000,3913,3935,79,0.00014724
1733763411.68454409,0.00706576,3839,0.00087423,0.00000000,0,0.00000000,3935,3965,157,0.00019486
1733763411.68454409,0.00278696,3839,0.00025549,0.00000000,0,0.00000000,3965,3933,102,0.00027020
1733763411.75654554,0.00337080,3219,0.00028573,0.00000000,0,0.00000000,3933,3904,145,0.00022207
1733763411.75654554,0.00629596,3219,0.00029263,0.00000000,0,0.00000000,3904,3955,77,0.00021970
1733763411.82554698,0.00734955,3442,0.00061438,0.00000000,0,0.00000000,3955,4000,135,0.00031542
1733763411.82554698,0.00421268,3442,0.00031000,0.00000000,0,0.00000000,4000,4003,66,0.00023748
1733763411.89754844,0.00755548,3165,0.00046303,0.00000000,0,0.00000000,4003,4031,120,0.00019630
1733763411.89754844,0.00769003,3165,0.00055192,0.00000000,0,0.00000000,4031,4023,60,0.00016298
1733763411.96655011,0.00706129,3120,0.00053089,0.00000000,0,0.00000000,4023,4054,115,0.00036174
1733763411.96655011,0.00385655,3120,0.00019406,0.00000000,0,0.00000000,4054,4063,61,0.00022962
1733763412.03855157,0.00401704,3574,0.00023700,0.00000000,0,0.00000000,4063,4087,117,0.00017564
1733763412.03855157,0.00267912,3574,0.00011931,0.00000000,0,0.00000000,4087,4076,51,0.00031007
1733763412.11055303,0.00437831,3160,0.00033661,0.00000000,0,0.00000000,4076,4119,124,0.00021560
1733763412.11055303,0.00533445,3160,0.00026349,0.00000000,0,0.00000000,4119,4134,47,0.00024406
1733763412.18255472,0.00474723,4145,0.00042614,0.00000000,0,0.00000000,4134,4150,139,0.00018717
1733763412.18255472,0.00612584,4145,0.00036694,0.00000000,0,0.00000000,4150,4163,71,0.00019505
1733763412.25455618,0.00439063,3241,0.00035444,0.00000000,0,0.00000000,4163,4227,156,0.00029600
1733763412.25455618,0.00414605,3241,0.00031977,0.00000000,0,0.00000000,4227,4236,72,0.00016555
1733763412.32655764,0.00501861,4044,0.00022112,0.00000000,0,0.00000000,4236,4264,90,0.00019688
1733763412.32655764,0.00614751,4044,0.00027174,0.00000000,0,0.00000000,4264,4251,40,0.00026169
1733763412.39555907,0.00699651,3138,0.00077250,0.00000000,0,0.00000000,4251,4345,195,0.00023329
1733763412.39555907,0.00685894,3138,0.00061315,0.00000000,0,0.00000000,4345,4303,84,0.00022797
1733763412.46756077,0.00375275,3443,0.00023471,0.00000000,0,0.00000000,4303,4286,89,0.00035563
1733763412.46756077,0.00266936,3443,0.00010735,0.00000000,0,0.00000000,4286,4316,41,0.00022268
